NEIGHBORHOOD,SALE_PRICE_TO_SQUARE_FOOT_RATIO,BOROUGH,NUM_TRANSACTIONS_PER_BOROUGH,BOROUGH_SIZE,TRANSACTIONS_TO_SIZE_RATIO,YEAR_BUILT
AIRPORT LA GUARDIA,353.5353535,4,26736,108.1,247.3265495,1950
ALPHABET CITY,929.2293943,1,18306,22.82,802.1910605,1937
ANNADALE,319.9786325,5,8410,58.69,143.2952803,1985
ARDEN HEIGHTS,256.0763889,5,8410,58.69,143.2952803,1987.5
ARROCHAR,324.9730138,5,8410,58.69,143.2952803,1988
ARROCHAR-SHORE ACRES,310.0683761,5,8410,58.69,143.2952803,1987
ARVERNE,201.1774601,4,26736,108.1,247.3265495,1960
ASTORIA,510.7726597,4,26736,108.1,247.3265495,1940
BATH BEACH,491.4146798,3,24047,69.5,346,1940
BATHGATE,170.2861082,2,7049,42.47,165.975983,1926
BAY RIDGE,512.6953125,3,24047,69.5,346,1928
BAYCHESTER,210.8521178,2,7049,42.47,165.975983,1955
BAYSIDE,536.4995602,4,26736,108.1,247.3265495,1955
BEDFORD PARK/NORWOOD,187.9491432,2,7049,42.47,165.975983,1924
BEDFORD STUYVESANT,438.228738,3,24047,69.5,346,1910
BEECHHURST,575,4,26736,108.1,247.3265495,1956
BELLE HARBOR,428.1302211,4,26736,108.1,247.3265495,1940
BELLEROSE,391.6005695,4,26736,108.1,247.3265495,1945
BELMONT,234.8143982,2,7049,42.47,165.975983,1920
BENSONHURST,525.4306387,3,24047,69.5,346,1930
BERGEN BEACH,335.1489362,3,24047,69.5,346,1970
BOERUM HILL,901.0000594,3,24047,69.5,346,1920
BOROUGH PARK,496.4154412,3,24047,69.5,346,1930
BRIARWOOD,431.402439,4,26736,108.1,247.3265495,1956
BRIGHTON BEACH,360.4587657,3,24047,69.5,346,2003
BROAD CHANNEL,296.7539474,4,26736,108.1,247.3265495,1925
BRONX PARK,133.4286395,2,7049,42.47,165.975983,1915
BRONXDALE,230.8105207,2,7049,42.47,165.975983,1950
BROOKLYN HEIGHTS,1197.420987,3,24047,69.5,346,1937
BROWNSVILLE,212.962963,3,24047,69.5,346,1930
BULLS HEAD,295.091234,5,8410,58.69,143.2952803,1981
BUSH TERMINAL,405.1565378,3,24047,69.5,346,1914
BUSHWICK,345.2780888,3,24047,69.5,346,1920
CAMBRIA HEIGHTS,329.9751096,4,26736,108.1,247.3265495,1945
CANARSIE,264.4337226,3,24047,69.5,346,1955
CARROLL GARDENS,918.412642,3,24047,69.5,346,1901
CASTLE HILL/UNIONPORT,214.2200102,2,7049,42.47,165.975983,1947.5
CASTLETON CORNERS,372.0057566,5,8410,58.69,143.2952803,1947
CHELSEA,1234.890695,1,18306,22.82,802.1910605,1940
CHINATOWN,836.6728609,1,18306,22.82,802.1910605,1920
CITY ISLAND,324.4613435,2,7049,42.47,165.975983,1937
CITY ISLAND-PELHAM STRIP,518.3098592,2,7049,42.47,165.975983,1955
CIVIC CENTER,870.0814806,1,18306,22.82,802.1910605,2007
CLINTON,1188.051948,1,18306,22.82,802.1910605,1950
CLINTON HILL,641.3690476,3,24047,69.5,346,1944
CLOVE LAKES,369.4236554,5,8410,58.69,143.2952803,1958.5
CO-OP CITY,11.88888889,2,7049,42.47,165.975983,1985
COBBLE HILL,1149.583147,3,24047,69.5,346,1900
COBBLE HILL-WEST,633.6481481,3,24047,69.5,346,1931
COLLEGE POINT,430.4347826,4,26736,108.1,247.3265495,1945
CONCORD,268.1605574,5,8410,58.69,143.2952803,1970
CONCORD-FOX HILLS,327.6474769,5,8410,58.69,143.2952803,1995
CONEY ISLAND,328.1710914,3,24047,69.5,346,1964
CORONA,401.0762952,4,26736,108.1,247.3265495,1931
COUNTRY CLUB,273.6655773,2,7049,42.47,165.975983,1955
CROTONA PARK,180.3480523,2,7049,42.47,165.975983,1922
CROWN HEIGHTS,363.2401017,3,24047,69.5,346,1920
CYPRESS HILLS,256.7354725,3,24047,69.5,346,1910
DONGAN HILLS,375.1301832,5,8410,58.69,143.2952803,1965
DONGAN HILLS-COLONY,391.2337421,5,8410,58.69,143.2952803,1955
DONGAN HILLS-OLD TOWN,335.9858532,5,8410,58.69,143.2952803,1986
DOUGLASTON,549.3051667,4,26736,108.1,247.3265495,1953
DOWNTOWN-FULTON FERRY,904.6702997,3,24047,69.5,346,1916
DOWNTOWN-FULTON MALL,1661.676647,3,24047,69.5,346,2014
DOWNTOWN-METROTECH,625.5995409,3,24047,69.5,346,1950
DYKER HEIGHTS,572.582127,3,24047,69.5,346,1925
EAST ELMHURST,397.0588235,4,26736,108.1,247.3265495,1930
EAST NEW YORK,231.1622025,3,24047,69.5,346,1925
EAST RIVER,560,2,7049,42.47,165.975983,1974
EAST TREMONT,187.9379911,2,7049,42.47,165.975983,1925
EAST VILLAGE,907.7142857,1,18306,22.82,802.1910605,1920
ELMHURST,440.7616361,4,26736,108.1,247.3265495,1954
ELTINGVILLE,329.8611111,5,8410,58.69,143.2952803,1975
EMERSON HILL,406.6382881,5,8410,58.69,143.2952803,1967.5
FAR ROCKAWAY,206.9322297,4,26736,108.1,247.3265495,1950
FASHION,791.3674914,1,18306,22.82,802.1910605,1929
FIELDSTON,610.8591977,2,7049,42.47,165.975983,1940
FINANCIAL,649.6522913,1,18306,22.82,802.1910605,1987
FLATBUSH-CENTRAL,331.1078241,3,24047,69.5,346,1930
FLATBUSH-EAST,293.6862245,3,24047,69.5,346,1925
FLATBUSH-LEFFERTS GARDEN,483.7367424,3,24047,69.5,346,1910
FLATBUSH-NORTH,242.3909921,3,24047,69.5,346,1931
FLATIRON,1179.775281,1,18306,22.82,802.1910605,1915
FLATLANDS,301.6591252,3,24047,69.5,346,1945
FLORAL PARK,468.75,4,26736,108.1,247.3265495,1950
FLUSHING-NORTH,560.8135763,4,26736,108.1,247.3265495,1960
FLUSHING-SOUTH,502.2625085,4,26736,108.1,247.3265495,1950
FORDHAM,201.717598,2,7049,42.47,165.975983,1910
FOREST HILLS,616.5452653,4,26736,108.1,247.3265495,1950
FORT GREENE,621.2121212,3,24047,69.5,346,1930
FRESH KILLS,162.4568505,5,8410,58.69,143.2952803,1977
FRESH MEADOWS,560.0961538,4,26736,108.1,247.3265495,1948.5
GERRITSEN BEACH,373.1765878,3,24047,69.5,346,1925
GLEN OAKS,514.7689842,4,26736,108.1,247.3265495,1955
GLENDALE,393.912265,4,26736,108.1,247.3265495,1930
GOWANUS,793.295,3,24047,69.5,346,1937
GRAMERCY,1255.049048,1,18306,22.82,802.1910605,1960
GRANT CITY,412.7595613,5,8410,58.69,143.2952803,1961
GRASMERE,384.7446237,5,8410,58.69,143.2952803,1976
GRAVESEND,461.5124341,3,24047,69.5,346,1938
GREAT KILLS,331.25,5,8410,58.69,143.2952803,1975
GREAT KILLS-BAY TERRACE,332.5474862,5,8410,58.69,143.2952803,1970
GREENPOINT,658.9147287,3,24047,69.5,346,1931
GREENWICH VILLAGE-CENTRAL,1722.059411,1,18306,22.82,802.1910605,1929
GREENWICH VILLAGE-WEST,1623.283617,1,18306,22.82,802.1910605,1930
GRYMES HILL,360.4294479,5,8410,58.69,143.2952803,1962.5
HAMMELS,247.3363775,4,26736,108.1,247.3265495,2003
